Date,Open,High,Low,Close,Volume
2010-01-04,8222.379811736435,8240.409997219685,8143.410470399538,8207.8095703125,6429400
2010-01-05,8277.669598547322,8283.599257133967,8162.5002382447055,8211.3603515625,6762000
2010-01-06,8237.060005533634,8327.830076923005,8216.880415057243,8327.580078125,6421600
2010-01-07,8344.519010483653,8369.509123390333,8233.549823304098,8237.3798828125,7133000
2010-01-08,8266.830145962913,8290.620069997962,8178.890629755933,8280.8603515625,5764400
2010-01-11,8291.479647560027,8357.860187631237,8281.679890011339,8323.7802734375,5857000
2010-01-12,8343.690264120647,8356.929458139206,8262.540264522346,8309.330078125,5246000
2010-01-13,8229.209801249262,8257.789739764525,8194.769539798508,8196.51953125,4925600
2010-01-14,8245.820525591953,8313.90027490285,8237.630135462705,8289.9404296875,4837200
2010-01-15,8340.559648360424,8380.190317858267,8325.780422295165,8356.849609375,5643400
2010-01-18,8290.340071563776,8367.610208315426,8290.340071563776,8337.7802734375,5100400
2010-01-19,8387.619444157719,8395.348898827748,8227.259870953581,8248.9599609375,5582400
2010-01-20,8309.149960761528,8309.149960761528,8191.400045970059,8220.8896484375,5009800
2010-01-21,8189.462117258098,8208.171991647627,8107.512301028339,8127.83251953125,4596800
2010-01-22,7986.392789652777,8015.91267099472,7912.813055971313,7927.27294921875,4907200
2010-01-25,7845.26331239536,7938.103212581224,7828.303430346859,7872.95361328125,3663800
2010-01-26,7902.993221419461,7922.033172392331,7572.545043229231,7598.77490234375,5680000
2010-01-27,7639.684688010994,7656.914588355523,7530.3751377395465,7559.99462890625,3986200
2010-01-28,7630.125294332225,7756.734579137722,7607.5252999349805,7694.544921875,3931200
2010-01-29,7593.344943101756,7649.694781472136,7481.865475590125,7640.40478515625,3949400
2010-02-01,7653.854873401311,7661.664896012238,7493.775532803831,7524.63525390625,3222400
2010-02-02,7633.705115592121,7635.694852532107,7398.76576674071,7429.57568359375,3759800
2010-02-03,7523.754995482066,7550.784654741601,7441.885259621267,7547.94482421875,3152400
2010-02-04,7563.155176219221,7578.1453416896575,7504.925463412156,7542.00537109375,2813800
2010-02-05,7323.126468590492,7352.946155633478,7196.357032220768,7217.796875,4614600
2010-02-08,7236.596584208521,7253.206859340206,7173.147169134536,7215.8466796875,3033600
2010-02-09,7225.676888935657,7381.786037703632,7197.0969416213875,7361.00634765625,3730000
2010-02-10,7438.085954584363,7496.305413749002,7404.936204495072,7441.8056640625,3984400
2010-02-22,7619.834682711304,7619.834682711304,7553.254914201843,7560.0048828125,3187400
2010-02-23,7575.585061906142,7597.40478515625,7502.415478616256,7597.40478515625,2992800
2010-02-24,7516.43560764885,7585.15501781324,7515.345280637687,7529.63525390625,2858200
2010-02-25,7568.385091173184,7568.385091173184,7400.385864327683,7426.92578125,3420800
2010-02-26,7451.135672919755,7479.245406995329,7383.6462370394775,7436.06591796875,2737400
2010-03-01,7492.80508143259,7620.524703730557,7451.055275127742,7577.71484375,3501600
2010-03-02,7649.584720319389,7664.454768698822,7592.625022951085,7597.5849609375,3158200
2010-03-03,7628.7446323171935,7670.214656069337,7604.824820663381,7629.48486328125,3005000
2010-03-04,7663.964406258164,7663.964406258164,7524.154996981107,7569.7646484375,3480400
2010-03-05,7659.7246391829685,7694.854849174414,7617.965065061622,7666.224609375,3218800
2010-03-08,7741.764254155971,7763.7241142528,7716.244351813266,7762.234375,3455000
2010-03-09,7762.364295380642,7770.55419921875,7737.614408911554,7770.55419921875,2978600
2010-03-10,7797.664465461991,7803.234264159243,7736.664744970157,7779.04443359375,2974000
2010-03-11,7817.553886776421,7818.803881027051,7749.364259009537,7749.62451171875,3106000
2010-03-12,7773.484259119075,7773.484259119075,7726.05430153018,7748.29443359375,2575400
2010-03-15,7750.834427025672,7766.324101794327,7634.884765625,7634.884765625,2705800
2010-03-16,7671.375110643933,7695.7749015206455,7645.1349961432325,7695.5947265625,2343400
2010-03-17,7763.394431605467,7849.343742909394,7762.814356151247,7847.8037109375,3959000
2010-03-18,7861.233028122952,7922.442701035407,7847.512877840027,7886.302734375,4674600
2010-03-19,7898.97265108334,7898.97265108334,7859.253111149226,7897.873046875,4037000
2010-03-22,7861.863650010822,7872.743482654643,7791.214073443769,7835.94384765625,3768800
2010-03-23,7880.0841612405175,7889.004042415092,7804.364291898103,7811.83447265625,4063400
2010-03-24,7875.233643945753,7881.3337134258745,7822.673828125,7822.673828125,4041400
2010-03-25,7824.704163150057,7856.2738418352565,7753.4740227649845,7838.06396484375,3696800
2010-03-26,7808.113600696323,7909.373383823441,7770.383795641784,7876.8232421875,3781000
2010-03-29,7918.91321901379,7961.102963420711,7909.0231284754855,7947.4130859375,3972800
2010-03-30,7992.082868458569,7994.582856806865,7942.433197517216,7962.18310546875,3880200
2010-03-31,7962.872846101226,7974.8527704378785,7920.02294921875,7920.02294921875,3841600
2010-04-01,7952.582803257008,8026.022400080866,7952.582803257008,8013.05224609375,4758600
2010-04-02,8046.252346029998,8050.9525193243235,8021.8725774256245,8025.892578125,3764600
2010-04-06,8082.992218267819,8128.042301859718,8082.332553364959,8089.6123046875,4339600
2010-04-07,8131.362260153683,8133.412543631138,8091.2423286917765,8121.7421875,4172600
2010-04-08,8105.962176504435,8149.642148469137,8038.332609260473,8057.5625,5082800
2010-04-09,8073.482507876142,8094.31248921923,8039.372803078109,8091.9921875,3819000
2010-04-12,8149.722019714349,8152.492026416152,8092.902458658695,8117.71240234375,4184800
2010-04-13,8090.502156674922,8104.102190651347,8022.9023755430435,8029.6923828125,4054200
2010-04-14,8077.902432855254,8102.342260778761,8039.972433196375,8097.09228515625,3749000
2010-04-15,8168.072283246514,8189.9720848326715,8136.282390444385,8171.90234375,5190600
2010-04-16,8161.812266947647,8162.812262312582,8090.642674949886,8111.5322265625,4369400
2010-04-19,8002.982704643406,8042.012307819347,7845.733437837388,7854.18359375,5187400
2010-04-20,7908.0727177855215,7923.232802826152,7842.032988922302,7900.3828125,3753600
2010-04-21,7949.922554173511,7998.722129244412,7947.862505272908,7990.4921875,3901200
2010-04-22,7948.852679486908,7985.452604674006,7897.10292334633,7978.65234375,3692800
2010-04-23,8021.672284281293,8030.07214717208,7996.732460013858,8004.8525390625,4027600
2010-04-26,8107.182851857375,8168.432569580237,8093.102838621911,8158.1025390625,4437400
2010-04-27,8174.812368880726,8174.812368880726,8121.1026558268,8146.40234375,3716000
2010-04-28,7944.663234319352,8092.442331962229,7944.663234319352,8081.51220703125,4334800
2010-04-29,8105.922120955928,8107.322016764699,8052.98242668221,8054.01220703125,4648600
2010-04-30,8116.352012316545,8163.901593652549,7999.2422108461515,8004.21240234375,5150600
2010-05-03,7979.762566375658,8022.4127579695305,7916.003098290206,7952.1328125,3430400
2010-05-04,8006.752573977348,8010.942495778174,7889.893257502585,7930.73291015625,3672800
2010-05-05,7759.144735060763,7785.514243521473,7695.65479068285,7696.86474609375,4732200
2010-05-06,7696.234321568649,7702.074138231434,7561.994709846292,7579.44482421875,4090600
2010-05-07,7393.2356708843745,7572.754856377406,7387.155621007018,7567.06494140625,4756000
2010-05-10,7610.844973559785,7664.69482421875,7577.275303317644,7664.69482421875,3267400
2010-05-11,7718.134258596667,7743.374376344343,7608.40478515625,7608.40478515625,3875600
2010-05-12,7663.304407091384,7674.484531173494,7596.174834699508,7602.6650390625,2929200
2010-05-13,7703.444643686621,7787.284102853251,7687.514540978988,7770.5341796875,3779600
2010-05-14,7735.56462065785,7772.504392650192,7725.784392074626,7772.09423828125,2810200
2010-05-17,7697.754424455907,7697.754424455907,7574.025016436464,7598.68505859375,3083600
2010-05-18,7630.064733766428,7637.954833916074,7560.855093602365,7585.2646484375,2829800
2010-05-19,7527.585107624364,7588.0545529533965,7467.1654667512,7559.125,3417800
2010-05-20,7557.135131096422,7557.135131096422,7424.39599609375,7424.39599609375,3058800
2010-05-21,7229.136757927584,7277.896788145289,7164.177094995076,7237.6767578125,3918400
2010-05-24,7296.116333230717,7344.886128374267,7269.776610668632,7322.6962890625,2518600
2010-05-25,7238.127239394571,7241.80691016052,7032.36792122066,7086.337890625,3914000
2010-05-26,7161.36721465923,7174.3471358818115,7079.8177821998315,7167.3173828125,3536200
2010-05-27,7139.417467600817,7254.646919847719,7105.0772929879195,7243.126953125,3097400
2010-05-28,7338.736127462354,7363.975756993354,7271.266224211032,7295.2861328125,3575800
2010-05-31,7312.225872021496,7373.94580078125,7292.506236863379,7373.94580078125,2443000
2010-06-01,7326.975900062601,7348.526093425534,7276.486387333306,7289.29638671875,2518000
2010-06-02,7252.756572553209,7304.0961794060495,7159.7169628048505,7195.6767578125,2794200
2010-06-03,7322.4762471096055,7361.666497404375,7309.4265021571,7360.24609375,2820800
2010-06-04,7377.526215945167,7377.526215945167,7337.316439460462,7344.55615234375,2484600
2010-06-07,7139.727133371566,7172.267023709903,7085.517420200552,7157.79736328125,2801400
2010-06-08,7142.277388029344,7179.107297685119,7128.88731256015,7151.95751953125,2772200
2010-06-09,7166.157778910776,7193.007756061409,7048.568462914415,7071.63818359375,3194200
2010-06-10,7134.127173237345,7182.957025608641,7085.307086445901,7181.73681640625,2467200
2010-06-11,7302.93650737536,7321.566304200081,7273.666622942327,7299.45654296875,3280800
2010-06-14,7372.896063041626,7393.375948754529,7347.195986637626,7387.36572265625,2681000
2010-06-15,7388.535944828769,7489.645832762027,7364.3060754636535,7454.02587890625,2928800
2010-06-17,7503.085507613884,7534.025306303749,7481.6857039812685,7515.7451171875,3259000
2010-06-18,7538.515417726515,7538.515417726515,7459.896147442305,7493.07568359375,2359000
2010-06-21,7595.8952019982935,7645.674757954516,7562.215181289975,7635.52490234375,3884600
2010-06-22,7630.6048975275435,7639.624875403286,7610.584970451092,7612.64501953125,2901200
2010-06-23,7576.254909983002,7615.404630799907,7549.944973381433,7582.11474609375,2991200
2010-06-24,7601.685003797017,7607.594644392279,7567.9249062677245,7589.85498046875,3013000
2010-06-25,7509.6858750644815,7537.335650973223,7463.255911595001,7474.67578125,3368200
2010-06-28,7507.115693675551,7536.575520369557,7489.515676219631,7500.755859375,3169800
2010-06-29,7554.745001350304,7584.775136522066,7423.53564453125,7423.53564453125,3366600
2010-06-30,7277.356684252356,7337.2860962695495,7255.056493792856,7329.33642578125,3332000
2010-07-01,7326.856107053963,7327.3658703113615,7251.566417675263,7254.0263671875,3086400
2010-07-02,7284.976284391769,7378.736107384536,7284.976284391769,7330.70654296875,3677600
2010-07-05,7351.146403954186,7447.145962923587,7351.146403954186,7439.92578125,3403400
2010-07-06,7385.295681728477,7548.44482421875,7382.335734576683,7548.44482421875,4087000
2010-07-07,7560.185428345512,7565.33530699325,7517.645585020564,7534.42529296875,3765400
2010-07-08,7612.674786853226,7622.424741803917,7583.324824807397,7608.81494140625,4278000
2010-07-09,7644.074721467215,7652.514624073021,7599.804905455906,7647.21484375,3585200
2010-07-12,7674.2244496441135,7705.074405332083,7636.774914951718,7639.5146484375,3604800
2010-07-13,7664.674493310024,7671.444481513731,7587.835005128202,7597.384765625,3037600
2010-07-14,7688.784785041906,7720.594698672151,7683.795061687224,7714.474609375,4078000
2010-07-15,7699.4551010762525,7732.274775535907,7681.835064290548,7704.48486328125,3892600
2010-07-16,7717.204836533607,7719.014398545874,7660.724626851176,7664.53466796875,4754200
2010-07-19,7602.6452362176,7666.5448448971865,7596.224855567566,7649.794921875,3152200
2010-07-20,7678.855131539973,7730.844640631978,7638.455413364218,7711.99462890625,3555000
2010-07-21,7742.444636187411,7752.76441329635,7678.264753387504,7701.2548828125,3832000
2010-07-22,7699.324555608266,7718.884524503629,7665.744631474563,7666.3046875,3409400
